State_Short,State,Quarter,Broad Type of Service, Services ,Benefits, Bulk Billed Services , Patient Billed Services , Bulk Billed Benefits ($) , Patient Billed Benefits ($) ,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($) , Schedule Fee ($) , Fee Charged ($) , Bulk Billed Fee Charged ($) , Patient Billed Fee Charged ($) 
NSW,South Australia,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"15,290,813","744,093,810","13,699,940","1,590,873","667,188,966","76,904,844",89.60%,42.7,"745,499,426","811,661,890","667,188,966","144,472,924"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"12,413,805","599,084,995","10,828,298","1,585,507","521,634,205","77,450,790",87.20%,44.61,"599,969,567","669,608,789","521,634,205","147,974,584"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"9,190,307","457,485,822","7,898,485","1,291,822","394,843,752","62,642,070",85.90%,44.62,"458,407,748","514,902,372","394,843,752","120,058,620"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"3,052,223","149,581,942","2,619,342","432,881","128,475,430","21,106,512",85.80%,36.51,"150,032,088","165,379,110","128,475,430","36,903,681"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"4,133,669","202,146,914","3,501,944","631,725","172,455,830","29,691,084",84.70%,43.6,"202,659,642","229,659,469","172,455,830","57,203,639"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"863,017","42,499,326","667,412","195,605","33,021,103","9,478,224",77.30%,44.93,"42,664,157","51,278,105","33,021,103","18,257,002"
NT,Australia,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"282,209","15,718,228","238,508","43,701","13,659,761","2,058,467",84.50%,40.82,"15,782,441","17,501,800","13,659,761","3,842,039"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"640,778","30,844,263","433,788","206,990","20,856,252","9,988,011",67.70%,50.55,"30,636,616","41,303,238","20,856,252","20,446,986"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,571,"27,360",466,105,"22,484","4,876",81.60%,40.9,"27,266","31,654","22,484","9,171"
Australia,Queensland,2021-22 Q4 (Jun Qtr),Practice Nurse,"1,013,517","13,796,380","1,008,769","4,748","13,735,466","60,913",99.50%,6.62,"13,825,293","13,827,804","13,735,466","92,338"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Practice Nurse,"289,397","3,866,128","288,082","1,315","3,849,031","17,097",99.50%,9.41,"3,870,545","3,878,499","3,849,031","29,468"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Practice Nurse,"209,288","2,704,222","208,434",854,"2,693,414","10,808",99.60%,9.93,"2,716,427","2,712,704","2,693,414","19,290"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Practice Nurse,"243,495","3,443,620","242,528",967,"3,431,213","12,407",99.60%,4.74,"3,451,167","3,448,199","3,431,213","16,986"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Practice Nurse,"103,870","1,353,050","103,091",779,"1,343,089","9,962",99.30%,2.25,"1,356,039","1,354,802","1,343,089","11,714"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Practice Nurse,"108,655","1,488,903","108,084",571,"1,481,581","7,321",99.50%,7.1,"1,490,361","1,492,959","1,481,581","11,377"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Practice Nurse,"28,918","378,515","28,696",222,"375,695","2,820",99.20%,0.57,"378,768","378,642","375,695","2,947"
NT,Australia,2021-22 Q4 (Jun Qtr),Practice Nurse,"24,673","493,545","24,658",15,"493,360",186,99.90%,2.83,"493,563","493,588","493,360",228
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Practice Nurse,"5,200","68,134","5,175",25,"67,821",312,99.50%,0.65,"68,160","68,150","67,821",329
Unk,Victoria,2021-22 Q4 (Jun Qtr),Practice Nurse,21,263,21, -   ,263, -   ,100.00%, - ,263,263,263, -   
Australia,Queensland,2021-22 Q4 (Jun Qtr),Other Allied Health,"4,035,386","324,478,394","2,022,633","2,012,753","136,823,749","187,654,645",50.10%,65.22,"367,578,659","455,757,841","136,823,749","318,934,092"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Other Allied Health,"1,259,281","100,840,085","617,466","641,815","42,099,456","58,740,629",49.00%,64.49,"113,900,091","142,233,875","42,099,456","100,134,419"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Other Allied Health,"1,190,349","95,887,366","577,999","612,350","39,018,152","56,869,214",48.60%,64.76,"108,621,263","135,541,386","39,018,152","96,523,233"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Other Allied Health,"791,574","62,612,240","427,044","364,530","28,845,421","33,766,818",53.90%,65.06,"71,146,005","86,329,939","28,845,421","57,484,517"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Other Allied Health,"298,575","22,543,813","188,326","110,249","12,174,385","10,369,428",63.10%,62.05,"25,983,915","29,384,667","12,174,385","17,210,282"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Other Allied Health,"364,626","31,015,449","172,772","191,854","11,640,665","19,374,784",47.40%,71.33,"34,903,425","44,699,934","11,640,665","33,059,268"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Other Allied Health,"72,134","6,031,841","22,781","49,353","1,811,700","4,220,142",31.60%,48.43,"6,923,793","8,422,179","1,811,700","6,610,480"
NT,Australia,2021-22 Q4 (Jun Qtr),Other Allied Health,"12,487","968,928","7,669","4,818","530,630","438,298",61.40%,79.51,"1,122,407","1,352,002","530,630","821,372"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Other Allied Health,"46,310","4,575,042","8,549","37,761","701,553","3,873,489",18.50%,85.11,"4,973,490","7,788,877","701,553","7,087,324"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Other Allied Health,50,"3,631",27,23,"1,786","1,844",54.00%,58.82,"4,270","4,984","1,786","3,197"
Australia,Queensland,2021-22 Q4 (Jun Qtr),Specialist Attendances,"8,393,158","688,704,878","2,752,390","5,640,768","230,148,840","458,556,038",32.80%,105.43,"797,044,404","1,191,520,226","230,148,840","961,371,386"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Specialist Attendances,"2,884,772","243,855,352","1,018,056","1,866,716","87,416,873","156,438,478",35.30%,113.58,"279,462,487","426,028,790","87,416,873","338,611,917"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Specialist Attendances,"2,408,140","199,146,804","830,683","1,577,457","70,529,485","128,617,319",34.50%,99.14,"231,350,226","331,384,647","70,529,485","260,855,162"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Specialist Attendances,"1,571,347","126,149,382","449,515","1,121,832","36,324,912","89,824,470",28.60%,107.28,"147,064,311","224,420,069","36,324,912","188,095,157"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Specialist Attendances,"590,688","45,949,589","204,923","385,765","16,438,299","29,511,290",34.70%,82.75,"53,714,147","74,625,235","16,438,299","58,186,936"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Specialist Attendances,"648,379","50,486,190","160,052","488,327","12,169,180","38,317,011",24.70%,105.69,"58,796,219","93,571,272","12,169,180","81,402,092"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Specialist Attendances,"154,187","11,599,673","50,887","103,300","4,073,885","7,525,788",33.00%,87.99,"13,731,214","19,276,733","4,073,885","15,202,848"
NT,Australia,2021-22 Q4 (Jun Qtr),Specialist Attendances,"26,376","2,015,851","8,234","18,142","646,391","1,369,461",31.20%,107.47,"2,378,936","3,619,563","646,391","2,973,172"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Specialist Attendances,"109,086","9,487,239","30,002","79,084","2,546,593","6,940,646",27.50%,127.92,"10,529,540","18,565,932","2,546,593","16,019,338"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Specialist Attendances,183,"14,798",38,145,"3,222","11,576",20.80%,110.65,"17,324","27,986","3,222","24,764"
Australia,Queensland,2021-22 Q4 (Jun Qtr),Obstetrics,"440,485","46,045,259","255,038","185,447","12,925,457","33,119,803",57.90%,310.52,"51,412,103","117,056,433","12,925,457","104,130,977"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Obstetrics,"148,337","16,374,745","86,805","61,532","4,529,032","11,845,713",58.50%,374.93,"18,105,157","43,660,064","4,529,032","39,131,032"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Obstetrics,"118,701","12,014,798","83,560","35,141","4,083,799","7,931,000",70.40%,475.66,"13,535,716","30,937,175","4,083,799","26,853,376"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Obstetrics,"83,010","8,299,963","39,801","43,209","1,987,740","6,312,223",47.90%,181.06,"9,363,664","19,390,051","1,987,740","17,402,311"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Obstetrics,"26,892","2,831,286","13,364","13,528","715,770","2,115,516",49.70%,226.58,"3,141,666","6,863,265","715,770","6,147,495"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Obstetrics,"47,470","4,966,514","23,027","24,443","1,218,923","3,747,591",48.50%,214.62,"5,507,927","12,259,803","1,218,923","11,040,880"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Obstetrics,"8,061","794,125","4,214","3,847","195,378","598,747",52.30%,210.54,"915,028","1,894,458","195,378","1,699,080"
NT,Australia,2021-22 Q4 (Jun Qtr),Obstetrics,"2,965","203,391","2,212",753,"83,525","119,866",74.60%,237.74,"233,208","391,686","83,525","308,161"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Obstetrics,"5,048","560,405","2,054","2,994","111,257","449,147",40.70%,320.8,"609,699","1,659,899","111,257","1,548,642"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Obstetrics,1,32,1, -   ,32, -   ,100.00%, - ,38,32,32, -   
Australia,Queensland,2021-22 Q4 (Jun Qtr),Anaesthetics,"925,404","130,119,006","95,108","830,296","9,694,125","120,424,881",10.30%,182.36,"168,472,679","329,863,617","9,694,125","320,169,492"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Anaesthetics,"295,325","43,035,283","34,240","261,085","3,490,954","39,544,329",11.60%,189.76,"56,042,540","112,196,814","3,490,954","108,705,860"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Anaesthetics,"247,975","34,175,919","25,152","222,823","2,409,633","31,766,286",10.10%,185.49,"43,485,657","86,333,210","2,409,633","83,923,578"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Anaesthetics,"185,708","25,823,335","23,995","161,713","2,502,861","23,320,473",12.90%,129.62,"33,735,471","65,029,489","2,502,861","62,526,628"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Anaesthetics,"73,951","9,813,130","5,418","68,533","652,386","9,160,744",7.30%,117.83,"12,950,436","23,072,182","652,386","22,419,796"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Anaesthetics,"87,738","12,340,152","4,956","82,782","483,162","11,856,990",5.60%,347.12,"15,800,993","29,930,083","483,162","29,446,922"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Anaesthetics,"18,646","2,660,856",557,"18,089","70,363","2,590,493",3.00%,82.43,"3,523,727","6,661,061","70,363","6,590,697"
NT,Australia,2021-22 Q4 (Jun Qtr),Anaesthetics,"3,590","538,883",125,"3,465","16,537","522,346",3.50%,104.5,"714,286","1,327,129","16,537","1,310,592"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Anaesthetics,"12,456","1,729,224",665,"11,791","68,229","1,660,994",5.30%,304.24,"2,216,602","5,307,629","68,229","5,239,400"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Anaesthetics,15,"2,225", -   ,15, -   ,"2,225",0.00%, - ,"2,966","6,020", -   ,"6,020"
Australia,Queensland,2021-22 Q4 (Jun Qtr),Total Pathology,"43,219,657","1,040,004,066","39,171,494","4,048,163","953,066,418","86,937,648",90.60%,24.67,"1,232,622,700","1,095,574,654","950,959,794","144,614,860"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Total Pathology,"15,200,618","378,274,391","13,571,194","1,629,424","345,706,893","32,567,498",89.30%,25.48,"448,399,378","396,629,541","344,896,407","51,733,134"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Total Pathology,"10,836,690","258,520,191","9,934,732","901,958","238,541,968","19,978,223",91.70%,25.88,"306,281,082","272,681,617","238,105,533","34,576,084"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Total Pathology,"8,508,836","201,880,404","7,703,658","805,178","184,012,886","17,867,518",90.50%,24.92,"239,463,404","213,929,251","183,566,821","30,362,430"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Total Pathology,"2,891,728","69,170,515","2,647,858","243,870","63,570,610","5,599,906",91.60%,21,"81,941,379","72,668,310","63,426,653","9,241,657"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Total Pathology,"3,805,026","85,511,314","3,461,857","343,169","77,761,809","7,749,506",91.00%,22.39,"101,406,327","91,003,964","77,570,044","13,433,920"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Total Pathology,"839,976","18,668,964","774,921","65,055","17,085,469","1,583,494",92.30%,27.44,"22,129,562","19,686,362","17,051,666","2,634,696"
NT,Australia,2021-22 Q4 (Jun Qtr),Total Pathology,"285,785","6,404,505","280,363","5,422","6,221,751","182,753",98.10%,19.97,"7,529,511","6,498,676","6,204,068","294,607"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Total Pathology,"850,332","21,558,330","796,405","53,927","20,152,293","1,406,037",93.70%,18.45,"25,453,454","22,459,765","20,125,863","2,333,903"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Total Pathology,666,"15,453",506,160,"12,740","2,713",76.00%, - ,"18,603","17,168","12,740","4,428"
Australia,Queensland,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"7,126,978","1,081,473,589","5,681,487","1,445,491","878,234,014","203,239,576",79.70%,125.51,"1,160,545,016","1,242,481,557","878,234,014","364,247,544"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"2,453,212","375,271,230","1,968,886","484,326","306,220,888","69,050,342",80.30%,117.94,"403,515,847","423,604,937","306,220,888","117,384,050"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"1,800,061","270,568,779","1,412,135","387,926","217,536,893","53,031,886",78.40%,128.74,"289,542,035","316,079,184","217,536,893","98,542,292"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"1,471,536","221,301,603","1,194,595","276,941","183,048,947","38,252,655",81.20%,128.28,"237,169,124","253,505,445","183,048,947","70,456,498"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"477,437","72,106,819","362,752","114,685","55,385,037","16,721,782",76.00%,123.34,"77,992,543","84,783,224","55,385,037","29,398,187"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"683,672","105,928,869","575,086","108,586","89,697,429","16,231,439",84.10%,135.34,"112,991,660","119,269,738","89,697,429","29,572,309"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"119,462","17,430,522","84,796","34,666","12,680,032","4,750,490",71.00%,128.37,"18,962,226","21,372,010","12,680,032","8,691,978"
NT,Australia,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"35,737","4,983,072","29,845","5,892","4,175,462","807,610",83.50%,141.38,"5,335,431","5,753,417","4,175,462","1,577,955"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,"85,715","13,861,098","53,295","32,420","9,473,467","4,387,631",62.20%,136.17,"15,012,425","18,086,148","9,473,467","8,612,682"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Diagnostic Imaging,146,"21,599",97,49,"15,859","5,739",66.40%,132.01,"23,726","27,454","15,859","11,594"
Australia,Queensland,2021-22 Q4 (Jun Qtr),Total Operations,"2,841,193","546,117,056","1,085,844","1,755,349","118,379,737","427,737,320",38.20%,109.27,"682,435,619","1,122,047,283","118,379,737","1,003,667,547"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Total Operations,"940,377","184,563,899","390,954","549,423","44,619,102","139,944,796",41.60%,124.51,"226,830,208","391,418,785","44,619,102","346,799,683"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Total Operations,"606,551","127,586,126","174,008","432,543","21,026,514","106,559,612",28.70%,116,"162,414,421","263,256,943","21,026,514","242,230,429"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Total Operations,"717,481","119,504,282","342,273","375,208","34,066,024","85,438,257",47.70%,100.41,"147,925,593","239,051,616","34,066,024","204,985,592"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Total Operations,"195,516","40,419,788","60,748","134,768","6,741,249","33,678,539",31.10%,80.55,"51,657,538","77,138,354","6,741,249","70,397,105"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Total Operations,"276,521","52,061,399","92,653","183,868","8,988,582","43,072,817",33.50%,88.73,"65,918,582","102,097,788","8,988,582","93,109,205"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Total Operations,"57,407","12,142,477","12,862","44,545","1,545,510","10,596,967",22.40%,66.4,"15,502,275","24,000,816","1,545,510","22,455,305"
NT,Australia,2021-22 Q4 (Jun Qtr),Total Operations,"12,117","2,286,499","5,186","6,931","507,368","1,779,130",42.80%,96.04,"2,920,613","4,880,875","507,368","4,373,507"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Total Operations,"35,176","7,542,569","7,144","28,032","883,616","6,658,953",20.30%,146.46,"9,253,749","20,180,196","883,616","19,296,580"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Total Operations,47,"10,019",16,31,"1,770","8,249",34.00%,108.83,"12,641","21,910","1,770","20,141"
Australia,Queensland,2021-22 Q4 (Jun Qtr),Optometry,"2,550,138","125,658,621","2,410,119","140,019","118,868,431","6,790,190",94.50%,34.68,"147,642,073","130,514,844","118,868,431","11,646,414"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Optometry,"826,613","40,710,015","789,289","37,324","38,868,409","1,841,606",95.50%,34.21,"47,836,327","41,986,850","38,868,409","3,118,441"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Optometry,"675,470","33,466,051","633,251","42,219","31,375,082","2,090,969",93.70%,33.97,"39,321,162","34,900,110","31,375,082","3,525,028"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Optometry,"537,942","26,313,812","506,946","30,996","24,873,012","1,440,800",94.20%,32.61,"30,909,353","27,324,645","24,873,012","2,451,633"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Optometry,"178,648","8,839,315","171,358","7,290","8,491,322","347,992",95.90%,34.6,"10,391,094","9,091,565","8,491,322","600,243"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Optometry,"220,890","10,874,562","207,935","12,955","10,253,070","621,492",94.10%,41.31,"12,778,396","11,409,672","10,253,070","1,156,602"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Optometry,"51,670","2,539,151","48,522","3,148","2,383,962","155,189",93.90%,28.37,"2,985,305","2,628,456","2,383,962","244,494"
NT,Australia,2021-22 Q4 (Jun Qtr),Optometry,"16,799","829,754","16,588",211,"820,290","9,464",98.70%,45.68,"975,793","839,393","820,290","19,103"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Optometry,"42,077","2,084,533","36,204","5,873","1,802,049","282,484",86.00%,42.24,"2,443,016","2,332,631","1,802,049","530,582"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Optometry,29,"1,428",26,3,"1,236",192,89.70%,31.98,"1,627","1,524","1,236",288
Australia,Queensland,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"624,116","168,888,563","424,305","199,811","90,046,906","78,841,657",68.00%,71.34,"147,090,748","183,786,462","90,046,906","93,739,556"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"186,221","49,109,021","138,590","47,631","29,203,261","19,905,761",74.40%,77.13,"44,135,996","52,884,262","29,203,261","23,681,001"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"133,219","35,562,626","88,418","44,801","19,175,794","16,386,832",66.40%,65.46,"32,053,616","38,786,922","19,175,794","19,611,128"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"144,594","39,966,237","89,757","54,837","19,400,561","20,565,676",62.10%,65.29,"33,931,188","43,788,454","19,400,561","24,387,893"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"52,769","16,408,927","30,017","22,752","6,800,345","9,608,583",56.90%,77.97,"12,869,530","18,193,286","6,800,345","11,392,941"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"72,851","20,736,151","49,440","23,411","10,292,052","10,444,100",67.90%,84.75,"16,927,376","22,721,430","10,292,052","12,429,379"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"21,388","4,275,331","17,290","4,098","3,075,705","1,199,626",80.80%,40.48,"4,348,852","4,460,067","3,075,705","1,384,362"
NT,Australia,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"4,607","928,866","4,477",130,"899,352","29,514",97.20%,48.82,"1,029,786","935,212","899,352","35,860"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,"8,459","1,896,704","6,308","2,151","1,195,137","701,567",74.60%,52.26,"1,789,405","2,012,129","1,195,137","816,992"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Radiotherapy and Therapeutic Nuclear Medicine,8,"4,700",8, -   ,"4,700", -   ,100.00%, - ,"4,998","4,700","4,700", -   
Australia,Queensland,2021-22 Q4 (Jun Qtr),Other MBS Services,"2,894,179","470,794,115","1,775,005","1,119,174","314,992,307","155,801,809",61.30%,136.85,"521,940,440","591,676,756","314,992,307","276,684,450"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Other MBS Services,"949,977","158,751,738","591,536","358,441","108,003,108","50,748,630",62.30%,142.15,"176,640,561","198,692,818","108,003,108","90,689,710"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Other MBS Services,"693,378","120,521,352","444,620","248,758","79,252,751","41,268,601",64.10%,177.26,"131,217,485","153,239,120","79,252,751","73,986,369"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Other MBS Services,"620,864","96,393,003","361,497","259,367","65,225,567","31,167,436",58.20%,125.12,"107,825,508","120,851,657","65,225,567","55,626,090"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Other MBS Services,"216,770","33,957,916","123,703","93,067","21,942,089","12,015,827",57.10%,97.63,"38,069,579","42,265,537","21,942,089","20,323,447"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Other MBS Services,"293,332","40,080,727","182,456","110,876","26,382,266","13,698,462",62.20%,103.88,"45,046,575","50,546,678","26,382,266","24,164,412"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Other MBS Services,"58,790","10,468,462","33,600","25,190","7,550,690","2,917,772",57.20%,76.12,"11,911,711","12,244,359","7,550,690","4,693,669"
NT,Australia,2021-22 Q4 (Jun Qtr),Other MBS Services,"15,813","4,000,554","11,975","3,838","3,241,361","759,193",75.70%,181.32,"4,296,536","4,584,836","3,241,361","1,343,475"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Other MBS Services,"45,204","6,613,664","25,587","19,617","3,389,741","3,223,923",56.60%,149.5,"6,924,429","9,242,880","3,389,741","5,853,140"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Other MBS Services,51,"6,699",31,20,"4,734","1,965",60.80%,96.73,"8,055","8,871","4,734","4,137"
Australia,Western Australia,2022-23 Q1 (Sep Qtr),Total Medicare,"115,911,449","6,981,838,173","90,565,695","25,345,754","4,703,885,995","2,277,952,178",78.10%,72.87,"7,583,816,446","9,184,424,365","4,701,900,052","4,482,524,314"
NSW,Tasmania,2022-23 Q1 (Sep Qtr),Total Medicare,"38,858,574","2,352,335,783","30,905,793","7,952,781","1,625,551,807","726,783,975",79.50%,79.39,"2,554,597,914","3,086,635,500","1,624,841,848","1,461,793,651"
Vic,Northern Australia,2022-23 Q1 (Sep Qtr),Total Medicare,"29,606,280","1,785,885,067","23,098,917","6,507,363","1,190,079,601","595,805,466",78.00%,73.22,"1,936,520,638","2,348,082,530","1,189,655,419","1,158,427,111"
Qld,Australian Capital Territory,2022-23 Q1 (Sep Qtr),Total Medicare,"23,667,450","1,427,328,083","18,386,096","5,281,354","965,960,165","461,367,917",77.70%,69.48,"1,548,590,876","1,875,292,216","965,571,764","909,720,452"
